Category,Type,Value,Count
lane,ground_truth,left lane,214
lane,ground_truth,right lane,214
lane,ground_truth,unclear,8

obstacle,ground_truth,far away,98
obstacle,ground_truth,near,78
obstacle,ground_truth,very close,62
obstacle,ground_truth,not on the same lane,198

decision,ground_truth,straight forward,296
decision,ground_truth,slow cruise,78
decision,ground_truth,switch lane,62

final_decision,ground_truth,straight forward,296
final_decision,ground_truth,slow cruise,78
final_decision,ground_truth,switch lane,62

lane,model,left lane,214
lane,model,right lane,212
lane,model,unclear,10

obstacle,model,far away,79
obstacle,model,near,94
obstacle,model,very close,47
obstacle,model,not on the same lane,216

decision,model,straight forward,295
decision,model,slow cruise,94
decision,model,switch lane,47

final_decision,model,straight forward,295
final_decision,model,slow cruise,94
final_decision,model,switch lane,47
