Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,194,22,89.81%
obstacle,216,186,30,86.11%
decision,216,188,28,87.04%
final_decision,216,188,28,87.04%

lane:left lane,91,83,8,91.21%
lane:right lane,91,77,14,84.62%
lane:unclear,34,34,0,100.00%
obstacle:far away,70,53,17,75.71%
obstacle:near,56,54,2,96.43%
obstacle:very close,14,3,11,21.43%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,131,15,89.73%
decision:slow cruise,56,54,2,96.43%
decision:switch lane,14,3,11,21.43%
final_decision:straight forward,146,131,15,89.73%
final_decision:slow cruise,56,54,2,96.43%
final_decision:switch lane,14,3,11,21.43%
