Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,201,15,93.06%
obstacle,216,188,28,87.04%
decision,216,191,25,88.43%
final_decision,216,191,25,88.43%

lane:left lane,91,83,8,91.21%
lane:right lane,91,86,5,94.51%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,54,16,77.14%
obstacle:near,56,55,1,98.21%
obstacle:very close,14,3,11,21.43%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,133,13,91.10%
decision:slow cruise,56,55,1,98.21%
decision:switch lane,14,3,11,21.43%
final_decision:straight forward,146,133,13,91.10%
final_decision:slow cruise,56,55,1,98.21%
final_decision:switch lane,14,3,11,21.43%
