Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,202,14,93.52%
obstacle,216,184,32,85.19%
decision,216,192,24,88.89%
final_decision,216,192,24,88.89%

lane:left lane,91,85,6,93.41%
lane:right lane,91,85,6,93.41%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,42,28,60.00%
obstacle:near,56,56,0,100.00%
obstacle:very close,14,10,4,71.43%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,126,20,86.30%
decision:slow cruise,56,56,0,100.00%
decision:switch lane,14,10,4,71.43%
final_decision:straight forward,146,126,20,86.30%
final_decision:slow cruise,56,56,0,100.00%
final_decision:switch lane,14,10,4,71.43%
