Category,Type,Value,Count
lane,ground_truth,left lane,214
lane,ground_truth,right lane,214
lane,ground_truth,unclear,8
lane,model,left lane,213
lane,model,right lane,213
lane,model,unclear,10
obstacle,ground_truth,far away,98
obstacle,ground_truth,near,78
obstacle,ground_truth,very close,62
obstacle,ground_truth,not on the same lane,198
obstacle,model,far away,92
obstacle,model,near,91
obstacle,model,very close,51
obstacle,model,not on the same lane,202
decision,ground_truth,straight forward,296
decision,ground_truth,slow cruise,78
decision,ground_truth,switch lane,62
decision,model,straight forward,294
decision,model,slow cruise,91
decision,model,switch lane,51
final_decision,ground_truth,straight forward,296
final_decision,ground_truth,slow cruise,78
final_decision,ground_truth,switch lane,62
final_decision,model,straight forward,294
final_decision,model,slow cruise,91
final_decision,model,switch lane,51
