Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,204,12,94.44%
obstacle,216,180,36,83.33%
decision,216,194,22,89.81%
final_decision,216,194,22,89.81%

lane:left lane,91,85,6,93.41%
lane:right lane,91,87,4,95.60%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,40,30,57.14%
obstacle:near,56,50,6,89.29%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,130,16,89.04%
decision:slow cruise,56,50,6,89.29%
decision:switch lane,14,14,0,100.00%
final_decision:straight forward,146,130,16,89.04%
final_decision:slow cruise,56,50,6,89.29%
final_decision:switch lane,14,14,0,100.00%
