model,Complete Exact Accuracy,Decision Macro F-2.0 Score,Lane Macro F-1.0 Score,Obstacle Macro F-1.0 Score,Obstacle Quadratic Weighted Cohen's Kappa,Composite Score,Weight Decision F-beta,Weight Lane F-beta,Weight Obstacle Kappa
OpA_2xW_b6_s23_full,0.922,0.8932,0.9781,0.901,0.8918,0.9184,0.5,0.3,0.2
OpA_2xW_b6_s23_best,0.8922,0.8574,1.0,0.8607,0.8202,0.8928,0.5,0.3,0.2
OpA_b12-s322_best,0.9289,0.9347,0.9192,0.9237,0.899,0.9229,0.5,0.3,0.2
Op-A_b6-s42_2nd-run_step2299,0.9289,0.8707,0.9984,0.8966,0.8907,0.913,0.5,0.3,0.2
OpA_2xW_b6_s42_full,0.9518,0.9238,0.9796,0.9338,0.935,0.9428,0.5,0.3,0.2
Op-A_b6-s23_2nd-run_step2299,0.9083,0.8659,0.9614,0.881,0.8641,0.8942,0.5,0.3,0.2
OpA_b12-s23_best,0.8945,0.8921,0.9796,0.8754,0.8215,0.9042,0.5,0.3,0.2
Op-A_b6-s23_2nd-run_full-epoch1,0.9289,0.8979,0.9614,0.9089,0.8957,0.9165,0.5,0.3,0.2
Op-A_b6-s23_2nd-run_best,0.9128,0.8595,0.9614,0.8835,0.8789,0.894,0.5,0.3,0.2
Op-A_b6-s42_1st-run_best,0.8876,0.848,0.9754,0.8571,0.8109,0.8788,0.5,0.3,0.2
Op-A_b6-s322_2nd-run_full-epoch1,0.906,0.9038,0.9614,0.891,0.8356,0.9074,0.5,0.3,0.2
OpA_b12-s322_full-epoch1,0.9243,0.9143,0.8639,0.9257,0.9291,0.9021,0.5,0.3,0.2
Op-A_b6-s42_2nd-run_step2199,0.9151,0.8651,0.9984,0.8827,0.8709,0.9063,0.5,0.3,0.2
Op-A_b6-s322_2nd-run_step2299,0.9083,0.8722,0.9583,0.8886,0.8662,0.8969,0.5,0.3,0.2
OpA_b12-s23_full-epoch1,0.8807,0.8972,0.9598,0.8656,0.7809,0.8928,0.5,0.3,0.2
Op-A_b6-s42_2nd-run_best,0.922,0.8855,1.0,0.8936,0.8587,0.9145,0.5,0.3,0.2
Op-A_b6-s23_1st-run_best,0.8716,0.8465,0.9583,0.8446,0.8,0.8707,0.5,0.3,0.2
OpA_2xW_b6_s322_full,0.9335,0.9312,0.9754,0.9219,0.8912,0.9365,0.5,0.3,0.2
Op-A_b6-s322_1st-run_best,0.8784,0.8552,0.9614,0.8455,0.786,0.8732,0.5,0.3,0.2
Op-A_b6-s42_2nd-run_full-epoch1,0.8601,0.88,0.9614,0.837,0.7543,0.8793,0.5,0.3,0.2
Op-A_b6-s42_1st-run_first-eval_chkpoint,0.2454,0.6163,0.4023,0.3728,0.1021,0.4492,0.5,0.3,0.2
OpA_2xW_b6_s42_best,0.9312,0.9289,1.0,0.9141,0.8775,0.94,0.5,0.3,0.2
Op-A_b6-s322_2nd-run_best,0.9289,0.876,0.9583,0.9008,0.8844,0.9024,0.5,0.3,0.2
OpA_2xW_b6_s322_best,0.9151,0.908,0.9754,0.8986,0.8438,0.9154,0.5,0.3,0.2
OpA_b12-s42_best,0.9564,0.9464,0.9953,0.9491,0.9436,0.9605,0.5,0.3,0.2
