file_name,lane,obstacle,decision,final_decision
image_20250424_103509_888071.json,right lane,far away,straight forward,straight forward
image_20250424_101802_835782.json,right lane,far away,straight forward,straight forward
image_20250424_103537_002625_mirrored.json,left lane,near,slow cruise,slow cruise
image_20250424_104314_041274.json,left lane,not on the same lane,straight forward,straight forward
image_20250424_110125_163688.json,right lane,not on the same lane,straight forward,straight forward
image_20250424_104338_046621.json,left lane,not on the same lane,straight forward,straight forward
image_20250424_105601_127179_mirrored.json,unclear,near,slow cruise,slow cruise
image_20250424_110109_163482_mirrored.json,left lane,not on the same lane,straight forward,straight forward
image_20250424_103514_122148_mirrored.json,left lane,far away,straight forward,straight forward
image_20250424_110126_168134_mirrored.json,left lane,not on the same lane,straight forward,straight forward
image_20250424_101839_954034.json,unclear,near,slow cruise,slow cruise
image_20250424_104318_041591.json,left lane,not on the same lane,straight forward,straight forward
image_20250424_110113_163694.json,right lane,not on the same lane,straight forward,straight forward
image_20250424_104300_042598_mirrored.json,right lane,not on the same lane,straight forward,straight forward
image_20250424_105557_782584_mirrored.json,left lane,near,slow cruise,slow cruise
image_20250424_104336_040742.json,left lane,not on the same lane,straight forward,straight forward
image_20250424_103442_902006.json,right lane,far away,straight forward,straight forward
image_20250424_105530_868179.json,left lane,not on the same lane,straight forward,straight forward
image_20250306_123234_840524.json,right lane,far away,straight forward,straight forward
image_20250424_101833_286264_mirrored.json,left lane,near,slow cruise,slow cruise
image_20250424_104302_041486_mirrored.json,right lane,not on the same lane,straight forward,straight forward
image_20250424_110111_163560_mirrored.json,left lane,not on the same lane,straight forward,straight forward
image_20250424_110123_163480.json,right lane,not on the same lane,straight forward,straight forward
image_20250306_123323_121963_mirrored.json,unclear,very close,switch lane,switch lane
image_20250306_123237_629491.json,right lane,far away,straight forward,straight forward
image_20250306_123158_420121_mirrored.json,left lane,far away,straight forward,straight forward
image_20250424_110107_168800.json,right lane,not on the same lane,straight forward,straight forward
image_20250424_104330_041485.json,left lane,not on the same lane,straight forward,straight forward
image_20250306_123242_756255.json,unclear,near,slow cruise,slow cruise
image_20250424_103540_030938.json,unclear,very close,switch lane,switch lane
image_20250424_104258_041477_mirrored.json,right lane,not on the same lane,straight forward,straight forward
image_20250424_105543_954019.json,left lane,not on the same lane,straight forward,straight forward
image_20250424_101802_835782_mirrored.json,left lane,far away,straight forward,straight forward
image_20250306_123231_157878.json,right lane,far away,straight forward,straight forward
image_20250424_103533_794086.json,right lane,near,slow cruise,slow cruise
image_20250424_101829_132113_mirrored.json,left lane,near,slow cruise,slow cruise
image_20250424_103541_265078.json,unclear,very close,switch lane,switch lane
image_20250306_123243_669581_mirrored.json,unclear,near,slow cruise,slow cruise
image_20250424_110103_163481.json,right lane,not on the same lane,straight forward,straight forward
image_20250424_110123_163480_mirrored.json,left lane,not on the same lane,straight forward,straight forward
image_20250424_110111_163560.json,right lane,not on the same lane,straight forward,straight forward
image_20250424_101757_415300.json,right lane,far away,straight forward,straight forward
image_20250424_104314_041274_mirrored.json,right lane,not on the same lane,straight forward,straight forward
