Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,195,21,90.28%
obstacle,216,174,42,80.56%
decision,216,185,31,85.65%
final_decision,216,185,31,85.65%

lane:left lane,91,89,2,97.80%
lane:right lane,91,74,17,81.32%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,46,24,65.71%
obstacle:near,56,46,10,82.14%
obstacle:very close,14,6,8,42.86%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,133,13,91.10%
decision:slow cruise,56,46,10,82.14%
decision:switch lane,14,6,8,42.86%
final_decision:straight forward,146,133,13,91.10%
final_decision:slow cruise,56,46,10,82.14%
final_decision:switch lane,14,6,8,42.86%
