Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,367,69,84.17%
decision,436,399,37,91.51%
final_decision,436,399,37,91.51%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,66,32,67.35%
obstacle:near,78,68,10,87.18%
obstacle:very close,62,37,25,59.68%
obstacle:not on the same lane,198,196,2,98.99%
decision:straight forward,296,294,2,99.32%
decision:slow cruise,78,68,10,87.18%
decision:switch lane,62,37,25,59.68%
final_decision:straight forward,296,294,2,99.32%
final_decision:slow cruise,78,68,10,87.18%
final_decision:switch lane,62,37,25,59.68%
