Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,201,15,93.06%
obstacle,216,185,31,85.65%
decision,216,187,29,86.57%
final_decision,216,187,29,86.57%

lane:left lane,91,87,4,95.60%
lane:right lane,91,82,9,90.11%
lane:unclear,34,32,2,94.12%
obstacle:far away,70,57,13,81.43%
obstacle:near,56,46,10,82.14%
obstacle:very close,14,6,8,42.86%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,135,11,92.47%
decision:slow cruise,56,46,10,82.14%
decision:switch lane,14,6,8,42.86%
final_decision:straight forward,146,135,11,92.47%
final_decision:slow cruise,56,46,10,82.14%
final_decision:switch lane,14,6,8,42.86%
