Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,435,1,99.77%
obstacle,436,382,54,87.61%
decision,436,405,31,92.89%
final_decision,436,405,31,92.89%

lane:left lane,214,213,1,99.53%
lane:right lane,214,214,0,100.00%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,67,31,68.37%
obstacle:near,78,68,10,87.18%
obstacle:very close,62,49,13,79.03%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,288,8,97.30%
decision:slow cruise,78,68,10,87.18%
decision:switch lane,62,49,13,79.03%
final_decision:straight forward,296,288,8,97.30%
final_decision:slow cruise,78,68,10,87.18%
final_decision:switch lane,62,49,13,79.03%
