Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,434,2,99.54%
obstacle,436,405,31,92.89%
decision,436,408,28,93.58%
final_decision,436,408,28,93.58%

lane:left lane,214,213,1,99.53%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,89,9,90.82%
obstacle:near,78,64,14,82.05%
obstacle:very close,62,54,8,87.10%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,290,6,97.97%
decision:slow cruise,78,64,14,82.05%
decision:switch lane,62,54,8,87.10%
final_decision:straight forward,296,290,6,97.97%
final_decision:slow cruise,78,64,14,82.05%
final_decision:switch lane,62,54,8,87.10%
