Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,435,1,99.77%
obstacle,436,419,17,96.10%
decision,436,419,17,96.10%
final_decision,436,419,17,96.10%

lane:left lane,214,214,0,100.00%
lane:right lane,214,213,1,99.53%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,89,9,90.82%
obstacle:near,78,72,6,92.31%
obstacle:very close,62,60,2,96.77%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,287,9,96.96%
decision:slow cruise,78,72,6,92.31%
decision:switch lane,62,60,2,96.77%
final_decision:straight forward,296,287,9,96.96%
final_decision:slow cruise,78,72,6,92.31%
final_decision:switch lane,62,60,2,96.77%
