model,Complete Exact Accuracy,Decision Macro F-2.0 Score,Lane Macro F-1.0 Score,Obstacle Macro F-1.0 Score,Obstacle Quadratic Weighted Cohen's Kappa,Composite Score,Weight Decision F-beta,Weight Lane F-beta,Weight Obstacle Kappa
b6_s23_1st-run_best,0.8241,0.8506,0.9309,0.8317,0.7888,0.8623,0.5,0.3,0.2
b6_s23_1st-run_step1649,0.8565,0.9019,0.932,0.8652,0.8051,0.8916,0.5,0.3,0.2
b6_s322_1st-run_step1649,0.8148,0.8152,0.9252,0.8035,0.7788,0.8409,0.5,0.3,0.2
b6_s23_1st-run_full-epoch,0.8333,0.8717,0.9225,0.8426,0.8227,0.8771,0.5,0.3,0.2
No-sent_long-prompt_b6_s42_rerun_step2299,0.875,0.8992,0.9468,0.8771,0.9278,0.9192,0.5,0.3,0.2
b6_s322_1st-run_full-epoch,0.875,0.8745,0.9371,0.8729,0.8717,0.8927,0.5,0.3,0.2
No-sent_long-prompt_b6_s42_rerun_step2199,0.8241,0.8562,0.9398,0.824,0.8986,0.8898,0.5,0.3,0.2
b6_s42_1st-run_full-epoch,0.8102,0.8177,0.9312,0.7952,0.7237,0.8329,0.5,0.3,0.2
b6_s322_1st-run_best,0.8796,0.8765,0.9419,0.8728,0.8668,0.8942,0.5,0.3,0.2
No-sent_long-prompt_b6_s23_rerun_step2199,0.8241,0.8388,0.9468,0.8099,0.8963,0.8827,0.5,0.3,0.2
No-sent_long-prompt_b6_s23_rerun_step2299,0.8333,0.8549,0.9435,0.8196,0.9047,0.8914,0.5,0.3,0.2
No-sent_long-prompt_b6_s322_rerun_step2299,0.875,0.8755,0.9282,0.8795,0.9483,0.9059,0.5,0.3,0.2
b6_s42_1st-run_step1649,0.875,0.8314,0.9395,0.8415,0.8053,0.8586,0.5,0.3,0.2
b6_s42_1st-run_best,0.8565,0.8048,0.9501,0.8216,0.8076,0.8489,0.5,0.3,0.2
No-sent_long-prompt_b6_s322_rerun_step2199,0.7963,0.8594,0.9199,0.8158,0.9103,0.8877,0.5,0.3,0.2
