model,Complete Exact Accuracy,Decision Macro F-2.0 Score,Lane Macro F-1.0 Score,Obstacle Macro F-1.0 Score,Obstacle Quadratic Weighted Cohen's Kappa,Composite Score,Weight Decision F-beta,Weight Lane F-beta,Weight Obstacle Kappa
No-sent_long-prompt_b6_s23_rerun_step2199,0.9495,0.9189,0.9614,0.9321,0.9809,0.9441,0.5,0.3,0.2
No-sent_long-prompt_b6_s23_rerun_step2299,0.961,0.939,0.9614,0.9485,0.986,0.9551,0.5,0.3,0.2
b6_s322_1st-run_full-epoch,0.961,0.939,0.9614,0.9491,0.9431,0.9465,0.5,0.3,0.2
b6_s23_1st-run_step1649,0.945,0.9113,0.9614,0.9248,0.9171,0.9275,0.5,0.3,0.2
b6_s322_1st-run_step1649,0.961,0.9446,0.9614,0.95,0.9474,0.9502,0.5,0.3,0.2
No-sent_long-prompt_b6_s42_rerun_step2199,0.9495,0.9147,0.9568,0.9303,0.9818,0.9407,0.5,0.3,0.2
b6_s322_1st-run_best,0.9587,0.9474,0.9796,0.9459,0.9516,0.9579,0.5,0.3,0.2
b6_s42_1st-run_step1649,0.9771,0.961,0.9796,0.9684,0.9618,0.9667,0.5,0.3,0.2
No-sent_long-prompt_b6_s322_rerun_step2199,0.945,0.9109,0.9796,0.9226,0.9787,0.9451,0.5,0.3,0.2
No-sent_long-prompt_b6_s322_rerun_step2299,0.9633,0.938,0.9984,0.9491,0.9859,0.9657,0.5,0.3,0.2
b6_s23_1st-run_best,0.9243,0.9057,0.9614,0.9028,0.891,0.9195,0.5,0.3,0.2
b6_s42_1st-run_full-epoch,0.9335,0.9085,0.9614,0.912,0.9131,0.9253,0.5,0.3,0.2
No-sent_long-prompt_b6_s42_rerun_step2299,0.961,0.9318,0.9796,0.9446,0.985,0.9568,0.5,0.3,0.2
b6_s42_1st-run_best,0.9541,0.9405,0.9781,0.9434,0.9294,0.9496,0.5,0.3,0.2
b6_s23_1st-run_full-epoch,0.9427,0.9254,0.9614,0.9261,0.9243,0.936,0.5,0.3,0.2
