Category,Type,Value,Count
lane,ground_truth,left lane,91
lane,ground_truth,right lane,91
lane,ground_truth,unclear,34
obstacle,ground_truth,far away,70
obstacle,ground_truth,near,56
obstacle,ground_truth,very close,14
obstacle,ground_truth,not on the same lane,76
decision,ground_truth,straight forward,146
decision,ground_truth,slow cruise,56
decision,ground_truth,switch lane,14

lane,model,left lane,117
lane,model,right lane,69
lane,model,unclear,30
obstacle,model,far away,79
obstacle,model,near,26
obstacle,model,very close,30
obstacle,model,not on the same lane,81
decision,model,straight forward,160
decision,model,slow cruise,26
decision,model,switch lane,30
