Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,334,102,76.61%
obstacle,436,416,20,95.41%
decision,436,382,54,87.61%
lane:left lane,214,214,0,100.00%
lane:right lane,214,112,102,52.34%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,92,6,93.88%
obstacle:near,78,70,8,89.74%
obstacle:very close,62,56,6,90.32%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,290,6,97.97%
decision:slow cruise,78,34,44,43.59%
decision:switch lane,62,58,4,93.55%
