Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,167,49,77.31%
obstacle,216,191,25,88.43%
decision,216,183,33,84.72%
lane:left lane,91,86,5,94.51%
lane:right lane,91,47,44,51.65%
lane:unclear,34,34,0,100.00%
obstacle:far away,70,60,10,85.71%
obstacle:near,56,41,15,73.21%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,140,6,95.89%
decision:slow cruise,56,29,27,51.79%
decision:switch lane,14,14,0,100.00%
