Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,436,333,103,76.38%
obstacle,436,422,14,96.79%
decision,436,423,13,97.02%
lane:left lane,214,213,1,99.53%
lane:right lane,214,112,102,52.34%
lane:unclear,8,8,0,100.00%
obstacle:far away,98,96,2,97.96%
obstacle:near,78,70,8,89.74%
obstacle:very close,62,58,4,93.55%
obstacle:not on the same lane,198,198,0,100.00%
decision:straight forward,296,295,1,99.66%
decision:slow cruise,78,70,8,89.74%
decision:switch lane,62,58,4,93.55%
