Category,Type,Value,Count
lane,ground_truth,left lane,214
lane,ground_truth,right lane,214
lane,ground_truth,unclear,8
obstacle,ground_truth,far away,98
obstacle,ground_truth,near,78
obstacle,ground_truth,very close,62
obstacle,ground_truth,not on the same lane,198
decision,ground_truth,straight forward,296
decision,ground_truth,slow cruise,78
decision,ground_truth,switch lane,62

lane,model,left lane,313
lane,model,right lane,117
lane,model,unclear,6
obstacle,model,far away,101
obstacle,model,near,77
obstacle,model,very close,64
obstacle,model,not on the same lane,194
decision,model,straight forward,295
decision,model,slow cruise,77
decision,model,switch lane,64
