Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,127,89,58.80%
obstacle,216,186,30,86.11%
decision,216,187,29,86.57%

lane:left lane,91,82,9,90.11%
lane:right lane,91,44,47,48.35%
lane:unclear,34,1,33,2.94%

obstacle:far away,70,65,5,92.86%
obstacle:near,56,31,25,55.36%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%

decision:straight forward,146,142,4,97.26%
decision:slow cruise,56,31,25,55.36%
decision:switch lane,14,14,0,100.00%

