Category,Type,Value,Count
lane,ground_truth,left lane,91
lane,ground_truth,right lane,91
lane,ground_truth,unclear,34
obstacle,ground_truth,far away,70
obstacle,ground_truth,near,56
obstacle,ground_truth,very close,14
obstacle,ground_truth,not on the same lane,76
decision,ground_truth,straight forward,146
decision,ground_truth,slow cruise,56
decision,ground_truth,switch lane,14

lane,model,left lane,131
lane,model,right lane,48
lane,model,unclear,37
obstacle,model,far away,60
obstacle,model,near,55
obstacle,model,very close,23
obstacle,model,not on the same lane,78
decision,model,straight forward,139
decision,model,slow cruise,3
decision,model,switch lane,74
