Category,Type,Value,Count
lane,ground_truth,right lane,139
lane,ground_truth,left lane,93
lane,model,right lane,130
lane,model,left lane,101
lane,model,N/a,1
obstacle,ground_truth,near,82
obstacle,ground_truth,far away,76
obstacle,ground_truth,very close,47
obstacle,ground_truth,not on the same lane,27
obstacle,model,near,84
obstacle,model,far away,73
obstacle,model,very close,48
obstacle,model,not on the same lane,27
decision,ground_truth,straight forward,103
decision,ground_truth,slow cruise,82
decision,ground_truth,change lane left,25
decision,ground_truth,change lane right,22
decision,model,straight forward,100
decision,model,slow cruise,80
decision,model,change lane left,52
final_decision,ground_truth,straight forward,103
final_decision,ground_truth,slow cruise,82
final_decision,ground_truth,change lane left,25
final_decision,ground_truth,change lane right,22
final_decision,model,straight forward,100
final_decision,model,slow cruise,80
final_decision,model,change lane left,52
